Passport,AFG,ALB,DZA,AND,AGO,ATG,ARG,ARM,AUS,AUT,AZE,BHS,BHR,BGD,BRB,BLR,BEL,BLZ,BEN,BTN,BOL,BIH,BWA,BRA,BRN,BGR,BFA,BDI,KHM,CMR,CAN,CPV,CAF,TCD,CHL,CHN,COL,COM,COG,COD,CRI,CIV,HRV,CUB,CYP,CZE,DNK,DJI,DMA,DOM,ECU,EGY,SLV,GNQ,ERI,EST,SWZ,ETH,FJI,FIN,FRA,GAB,GMB,GEO,DEU,GHA,GRC,GRD,GTM,GIN,GNB,GUY,HTI,HND,HKG,HUN,ISL,IND,IDN,IRN,IRQ,IRL,ISR,ITA,JAM,JPN,JOR,KAZ,KEN,KIR,XKX,KWT,KGZ,LAO,LVA,LBN,LSO,LBR,LBY,LIE,LTU,LUX,MAC,MDG,MWI,MYS,MDV,MLI,MLT,MHL,MRT,MUS,MEX,FSM,MDA,MCO,MNG,MNE,MAR,MOZ,MMR,NAM,NRU,NPL,NLD,NZL,NIC,NER,NGA,PRK,MKD,NOR,OMN,PAK,PLW,PSE,PAN,PNG,PRY,PER,PHL,POL,PRT,QAT,ROU,RUS,RWA,KNA,LCA,WSM,SMR,STP,SAU,SEN,SRB,SYC,SLE,SGP,SVK,SVN,SLB,SOM,ZAF,KOR,SSD,ESP,LKA,VCT,SDN,SUR,SWE,CHE,SYR,TWN,TJK,TZA,THA,TLS,TGO,TON,TTO,TUN,TUR,TKM,TUV,UGA,UKR,ARE,GBR,USA,URY,UZB,VUT,VAT,VEN,VNM,YEM,ZMB,ZWE
ALB,e-visa,-1,e-visa,90,e-visa,90,90,90,90,90,90,90,90,e-visa,90,30,90,e-visa,e-visa,e-visa,e-visa,90,e-visa,90,90,90,e-visa,e-visa,e-visa,e-visa,90,e-visa,e-visa,e-visa,90,90,90,e-visa,e-visa,e-visa,90,e-visa,90,e-visa,90,90,90,e-visa,e-visa,e-visa,e-visa,e-visa,90,e-visa,e-visa,90,e-visa,e-visa,e-visa,90,90,e-visa,e-visa,90,90,e-visa,90,e-visa,90,e-visa,e-visa,e-visa,e-visa,90,90,90,90,e-visa,e-visa,e-visa,e-visa,90,90,90,e-visa,90,e-visa,90,e-visa,e-visa,90,90,e-visa,e-visa,90,e-visa,e-visa,e-visa,e-visa,90,90,90,90,e-visa,e-visa,90,e-visa,e-visa,90,e-visa,e-visa,90,90,e-visa,90,90,e-visa,90,e-visa,e-visa,e-visa,e-visa,e-visa,e-visa,90,90,90,e-visa,e-visa,e-visa,90,90,90,e-visa,e-visa,e-visa,90,e-visa,90,90,e-visa,90,90,90,90,e-visa,e-visa,90,e-visa,e-visa,90,e-visa,90,e-visa,90,90,e-visa,90,90,90,e-visa,e-visa,e-visa,90,e-visa,90,e-visa,e-visa,e-visa,e-visa,90,90,visa required,90,e-visa,e-visa,90,e-visa,e-visa,e-visa,90,e-visa,visa free,e-visa,e-visa,e-visa,90,90,90,360,90,e-visa,e-visa,90,90,e-visa,e-visa,e-visa,e-visa
DZA,visa required,visa required,-1,visa required,visa required,visa required,visa required,visa required,visa required,visa required,visa required,visa required,visa required,visa required,visa required,visa required,visa required,visa required,visa required,visa required,visa required,visa required,visa required,visa required,visa required,visa required,visa required,visa required,visa required,visa required,visa required,visa required,visa required,visa required,visa required,visa required,visa required,visa required,visa required,visa required,visa required,visa required,visa required,visa required,visa required,visa required,visa required,visa required,visa required,visa required,visa required,visa required,visa required,visa required,visa required,visa required,visa required,visa required,visa required,visa required,visa required,visa required,visa required,visa required,visa required,visa required,visa required,visa required,visa required,visa required,visa required,visa required,visa required,visa required,visa required,visa required,visa required,visa required,visa required,visa required,visa required,visa required,no admission,visa required,visa required,visa required,visa required,visa required,visa required,visa required,visa required,visa required,visa required,visa required,visa required,visa required,visa required,visa required,90,visa required,visa required,visa required,visa required,visa required,visa required,90,visa required,90,visa required,visa required,90,visa required,visa required,visa required,visa required,visa required,visa required,visa required,90,visa required,visa required,visa required,visa required,visa required,visa required,visa required,visa required,visa required,visa required,visa required,visa required,visa required,visa required,visa required,visa required,visa required,visa required,visa required,visa required,visa required,visa required,visa required,visa required,visa required,visa required,visa required,visa required,visa required,visa required,visa required,visa required,visa required,visa required,visa required,visa required,90,visa required,visa required,visa required,visa required,visa required,visa required,visa required,visa required,visa required,visa required,visa required,visa required,visa required,visa required,visa required,visa required,visa required,visa required,visa required,visa required,visa required,visa required,visa required,visa required,visa required,90,visa required,visa required,visa required,visa required,visa required,visa required,visa required,visa required,visa required,visa required,visa required,visa required,visa required,visa required,visa required,visa required,visa required
AND,visa required,90,visa required,-1,visa required,90,90,visa required,90,visa free,visa required,90,visa required,visa required,90,visa required,visa free,visa required,visa required,visa required,visa required,90,visa required,90,90,visa free,visa required,visa required,visa required,visa required,90,visa required,visa required,visa required,90,visa required,90,visa required,visa required,visa required,90,visa required,visa free,visa required,visa free,visa free,visa free,visa required,90,visa required,visa required,visa required,90,visa required,visa required,visa free,visa required,visa required,visa required,visa free,visa free,visa required,visa required,90,visa free,visa required,visa free,90,90,visa required,visa required,visa required,visa required,90,90,visa free,visa free,visa required,visa required,visa required,visa required,visa free,90,visa free,visa required,90,visa required,visa required,visa required,90,visa required,visa required,visa required,visa required,visa free,visa required,visa required,visa required,visa required,visa free,visa free,visa free,90,visa required,visa required,90,visa required,visa required,visa free,90,visa required,90,90,90,90,visa free,visa required,90,visa required,visa required,visa required,visa required,visa required,visa required,visa free,90,90,visa required,visa required,visa required,90,visa free,visa required,visa required,90,visa required,90,visa required,90,90,visa required,visa free,visa free,visa required,visa free,visa required,visa required,90,90,90,90,visa required,visa required,visa required,90,90,visa required,90,visa free,visa free,90,visa required,visa required,90,visa required,visa free,visa required,90,visa required,visa required,visa free,visa free,visa required,90,visa required,visa required,visa required,90,visa required,90,90,visa required,visa required,visa required,90,visa required,90,90,90,90,90,visa required,visa required,90,90,visa required,visa required,visa required,visa required
AGO,visa required,visa required,30,visa required,-1,30,30,visa required,30,30,visa required,30,visa required,visa required,30,visa required,30,30,visa required,visa required,visa required,visa required,30,30,visa required,30,visa required,visa required,visa required,visa required,30,30,visa required,visa required,30,30,visa required,visa required,visa required,visa required,visa required,visa required,30,e-visa,30,30,30,visa required,visa required,30,visa required,visa required,visa required,30,visa required,30,30,visa required,30,30,30,visa required,visa required,visa required,30,visa required,30,30,visa required,visa required,visa required,30,30,visa required,visa required,30,30,30,30,visa required,visa required,30,30,30,30,30,visa required,visa required,visa required,30,visa required,visa required,visa required,visa required,30,visa required,30,visa required,visa required,visa required,30,30,visa required,30,30,visa required,visa required,visa required,30,30,visa required,30,30,30,visa required,30,visa required,visa required,30,visa required,visa required,visa free,30,visa required,30,30,visa required,visa required,visa required,visa required,visa required,e-visa,visa required,visa required,30,visa required,30,30,visa required,visa required,visa required,30,30,30,30,30,30,30,30,30,visa required,e-visa,30,visa required,visa required,30,visa required,30,30,30,30,visa required,30,30,visa required,30,visa required,30,visa required,30,30,30,visa required,visa required,visa required,30,visa required,30,visa required,30,30,visa required,30,visa required,30,visa required,visa required,30,30,30,30,visa required,30,30,e-visa,visa required,visa required,30,30
ATG,e-visa,180,e-visa,180,e-visa,-1,180,180,180,180,180,180,e-visa,e-visa,180,180,180,180,e-visa,e-visa,90,e-visa,180,180,180,180,e-visa,e-visa,e-visa,e-visa,180,e-visa,e-visa,e-visa,180,30,visa free,e-visa,e-visa,e-visa,e-visa,e-visa,180,30,180,180,180,e-visa,visa free,e-visa,90,e-visa,e-visa,e-visa,e-visa,180,180,e-visa,180,180,180,e-visa,e-visa,180,180,e-visa,180,visa free,e-visa,e-visa,e-visa,180,e-visa,e-visa,30,180,180,e-visa,e-visa,e-visa,e-visa,180,e-visa,180,180,180,e-visa,180,180,180,90,e-visa,180,e-visa,180,e-visa,180,e-visa,e-visa,180,180,180,30,180,180,180,180,e-visa,180,180,e-visa,180,180,e-visa,180,180,e-visa,e-visa,e-visa,e-visa,e-visa,180,180,e-visa,180,180,e-visa,e-visa,e-visa,e-visa,180,180,e-visa,e-visa,e-visa,e-visa,180,180,e-visa,180,e-visa,180,180,e-visa,180,90,e-visa,visa free,visa free,180,180,e-visa,e-visa,e-visa,180,180,e-visa,180,180,180,180,e-visa,180,180,e-visa,180,e-visa,visa free,e-visa,180,180,180,e-visa,30,180,180,e-visa,e-visa,e-visa,e-visa,180,e-visa,180,180,180,180,180,90,180,180,e-visa,180,180,180,180,e-visa,e-visa,180,e-visa
ARG,visa required,visa required,visa required,90,visa required,visa required,-1,90,90,90,visa required,visa required,visa required,visa required,90,90,90,visa required,visa required,visa required,90,90,visa required,90,visa required,90,visa required,visa required,visa required,visa required,90,visa required,visa required,visa required,90,visa required,90,visa required,visa required,visa required,90,visa required,90,visa required,90,90,90,visa required,90,visa required,90,visa required,90,visa required,visa required,90,visa required,visa required,90,90,90,visa required,visa required,90,90,visa required,90,90,90,visa required,visa required,90,visa required,90,90,90,90,visa required,visa required,visa required,visa required,90,90,90,90,90,visa required,90,visa required,visa required,visa required,visa required,visa required,visa required,90,visa required,visa required,visa required,visa required,90,90,90,90,visa required,visa required,30,visa required,visa required,90,visa required,visa required,visa required,90,visa required,visa required,90,90,90,visa required,visa required,visa required,visa required,visa required,visa required,90,90,90,visa required,visa required,visa required,90,90,visa required,visa required,visa required,visa required,90,visa required,90,90,visa required,90,90,90,90,90,visa required,90,90,visa required,90,visa required,visa required,visa required,90,visa required,visa required,90,90,90,visa required,visa required,90,90,visa required,90,visa required,90,visa required,90,90,90,visa required,visa required,visa required,visa required,90,visa required,visa required,visa required,90,visa required,90,visa required,visa required,visa required,90,90,90,90,90,visa required,visa required,90,90,visa required,visa required,visa required,visa required
ARM,visa required,180,e-visa,180,visa required,visa on arrival,visa free,-1,180,180,no admission,visa on arrival,e-visa,visa required,visa on arrival,visa free,180,e-visa,visa required,e-visa,e-visa,visa on arrival,visa required,180,e-visa,180,visa required,visa required,e-visa,visa required,visa on arrival,visa required,visa required,visa required,visa on arrival,180,e-visa,visa required,visa required,visa required,e-visa,visa required,180,e-visa,180,180,180,visa required,visa on arrival,visa on arrival,180,e-visa,e-visa,visa required,visa required,180,visa required,visa required,e-visa,180,180,visa required,visa required,visa free,180,visa required,180,e-visa,e-visa,visa required,visa required,e-visa,e-visa,e-visa,180,180,180,e-visa,e-visa,90,e-visa,180,visa on arrival,180,e-visa,180,visa on arrival,180,visa required,e-visa,no admission,180,180,e-visa,180,visa on arrival,visa required,visa required,visa required,180,180,180,90,visa required,visa required,e-visa,visa required,visa required,180,e-visa,visa required,visa required,visa on arrival,e-visa,visa free,180,e-visa,180,e-visa,visa required,e-visa,visa required,e-visa,visa required,180,180,e-visa,visa required,visa required,visa on arrival,visa on arrival,180,visa on arrival,visa required,e-visa,visa required,visa on arrival,e-visa,e-visa,visa on arrival,e-visa,180,180,180,180,180,visa required,e-visa,e-visa,visa required,180,visa required,e-visa,visa required,180,visa required,visa required,180,180,180,e-visa,visa required,visa on arrival,180,visa required,180,visa required,visa on arrival,visa required,e-visa,180,180,visa required,e-visa,180,visa required,visa on arrival,e-visa,visa required,e-visa,e-visa,e-visa,visa on arrival,visa required,e-visa,visa required,visa free,180,180,180,180,180,e-visa,180,e-visa,e-visa,visa required,visa required,visa required
AUS,e-visa,e-visa,e-visa,e-visa,e-visa,e-visa,e-visa,e-visa,-1,e-visa,e-visa,e-visa,e-visa,e-visa,e-visa,e-visa,e-visa,e-visa,e-visa,e-visa,e-visa,e-visa,e-visa,e-visa,e-visa,e-visa,e-visa,e-visa,e-visa,e-visa,e-visa,e-visa,e-visa,e-visa,e-visa,e-visa,e-visa,e-visa,e-visa,e-visa,e-visa,e-visa,e-visa,e-visa,e-visa,e-visa,e-visa,e-visa,e-visa,e-visa,e-visa,e-visa,e-visa,e-visa,e-visa,e-visa,e-visa,e-visa,e-visa,e-visa,e-visa,e-visa,e-visa,e-visa,e-visa,e-visa,e-visa,e-visa,e-visa,e-visa,e-visa,e-visa,e-visa,e-visa,e-visa,e-visa,e-visa,e-visa,e-visa,e-visa,e-visa,e-visa,e-visa,e-visa,e-visa,e-visa,e-visa,e-visa,e-visa,e-visa,e-visa,e-visa,e-visa,e-visa,e-visa,e-visa,e-visa,e-visa,e-visa,e-visa,e-visa,e-visa,e-visa,e-visa,e-visa,e-visa,e-visa,e-visa,e-visa,e-visa,e-visa,e-visa,e-visa,e-visa,e-visa,e-visa,e-visa,e-visa,e-visa,e-visa,e-visa,e-visa,e-visa,e-visa,e-visa,visa free,e-visa,e-visa,e-visa,e-visa,e-visa,e-visa,e-visa,e-visa,e-visa,e-visa,e-visa,e-visa,e-visa,e-visa,e-visa,e-visa,e-visa,e-visa,e-visa,e-visa,e-visa,e-visa,e-visa,e-visa,e-visa,e-visa,e-visa,e-visa,e-visa,e-visa,e-visa,e-visa,e-visa,e-visa,e-visa,e-visa,e-visa,e-visa,e-visa,e-visa,e-visa,e-visa,e-visa,e-visa,e-visa,e-visa,e-visa,e-visa,e-visa,e-visa,e-visa,e-visa,e-visa,e-visa,e-visa,e-visa,e-visa,e-visa,e-visa,e-visa,e-visa,e-visa,e-visa,e-visa,e-visa,e-visa,e-visa,e-visa,e-visa,e-visa,e-visa,e-visa,e-visa
AUT,visa required,90,visa required,90,visa required,90,90,visa required,90,-1,visa required,90,visa required,visa required,90,visa required,visa free,visa required,visa required,visa required,visa required,90,visa required,90,90,visa free,visa required,visa required,visa required,visa required,90,visa required,visa required,visa required,90,visa required,90,visa required,visa required,visa required,90,visa required,visa free,visa required,visa free,visa free,visa free,visa required,90,visa required,visa required,visa required,90,visa required,visa required,visa free,visa required,visa required,visa required,visa free,visa free,visa required,visa required,90,visa free,visa required,visa free,90,90,visa required,visa required,visa required,visa required,90,90,visa free,visa free,visa required,visa required,visa required,visa required,visa free,90,visa free,visa required,90,visa required,visa required,visa required,90,visa required,visa required,visa required,visa required,visa free,visa required,visa required,visa required,visa required,visa free,visa free,visa free,90,visa required,visa required,90,visa required,visa required,visa free,90,visa required,90,90,90,90,90,visa required,90,visa required,visa required,visa required,visa required,visa required,visa required,visa free,90,90,visa required,visa required,visa required,90,visa free,visa required,visa required,90,visa required,90,visa required,90,90,visa required,visa free,visa free,visa required,visa free,visa required,visa required,90,90,90,90,visa required,visa required,visa required,90,90,visa required,90,visa free,visa free,90,visa required,visa required,90,visa required,visa free,visa required,90,visa required,visa required,visa free,visa free,visa required,90,visa required,visa required,visa required,90,visa required,90,90,visa required,visa required,visa required,90,visa required,90,90,90,90,90,visa required,visa required,90,90,visa required,visa required,visa required,visa required
AZE,visa required,e-visa,e-visa,e-visa,visa required,visa required,e-visa,no admission,e-visa,e-visa,-1,e-visa,visa on arrival,visa required,e-visa,90,e-visa,visa required,visa required,visa required,e-visa,e-visa,visa required,e-visa,e-visa,e-visa,visa required,visa required,visa required,visa required,e-visa,visa required,visa required,visa required,e-visa,visa on arrival,e-visa,visa required,visa required,visa required,e-visa,visa required,e-visa,e-visa,e-visa,e-visa,e-visa,e-visa,visa required,visa required,e-visa,visa required,visa required,visa required,visa required,e-visa,visa required,visa required,visa required,e-visa,e-visa,visa required,visa required,90,e-visa,visa required,e-visa,visa required,e-visa,visa required,visa required,visa required,visa required,e-visa,e-visa,e-visa,e-visa,e-visa,visa on arrival,e-visa,visa required,e-visa,visa on arrival,e-visa,e-visa,visa on arrival,e-visa,90,visa required,visa required,visa required,visa on arrival,90,visa required,e-visa,visa required,visa required,visa required,visa required,e-visa,e-visa,e-visa,e-visa,visa required,visa required,visa on arrival,e-visa,visa required,e-visa,visa required,visa required,e-visa,e-visa,visa required,90,e-visa,e-visa,e-visa,e-visa,visa required,visa required,visa required,visa required,e-visa,e-visa,e-visa,visa required,visa required,visa required,visa required,e-visa,e-visa,visa on arrival,e-visa,visa required,visa required,e-visa,visa required,visa on arrival,e-visa,visa required,e-visa,e-visa,30,e-visa,90,visa required,visa required,visa required,visa required,e-visa,visa required,visa on arrival,visa required,e-visa,e-visa,visa required,visa on arrival,e-visa,e-visa,visa required,visa required,e-visa,visa on arrival,visa required,e-visa,e-visa,visa required,visa required,visa required,e-visa,e-visa,visa required,visa required,90,visa required,e-visa,visa required,visa required,visa required,e-visa,visa required,90,e-visa,visa required,visa required,90,90,e-visa,e-visa,visa required,90,visa required,e-visa,visa required,e-visa,visa required,visa required,visa required
