Passport,AFG,ALB,DZA,AND,AGO,ATG,ARG,ARM,AUS,AUT,AZE,BHS,BHR,BGD,BRB,BLR,BEL,BLZ,BEN,BTN,BOL,BIH,BWA,BRA,BRN,BGR,BFA,BDI,KHM,CMR,CAN,CPV,CAF,TCD,CHL,CHN,COL,COM,COG,COD,CRI,CIV,HRV,CUB,CYP,CZE,DNK,DJI,DMA,DOM,ECU,EGY,SLV,GNQ,ERI,EST,SWZ,ETH,FJI,FIN,FRA,GAB,GMB,GEO,DEU,GHA,GRC,GRD,GTM,GIN,GNB,GUY,HTI,HND,HKG,HUN,ISL,IND,IDN,IRN,IRQ,IRL,ISR,ITA,JAM,JPN,JOR,KAZ,KEN,KIR,XKX,KWT,KGZ,LAO,LVA,LBN,LSO,LBR,LBY,LIE,LTU,LUX,MAC,MDG,MWI,MYS,MDV,MLI,MLT,MHL,MRT,MUS,MEX,FSM,MDA,MCO,MNG,MNE,MAR,MOZ,MMR,NAM,NRU,NPL,NLD,NZL,NIC,NER,NGA,PRK,MKD,NOR,OMN,PAK,PLW,PSE,PAN,PNG,PRY,PER,PHL,POL,PRT,QAT,ROU,RUS,RWA,KNA,LCA,WSM,SMR,STP,SAU,SEN,SRB,SYC,SLE,SGP,SVK,SVN,SLB,SOM,ZAF,KOR,SSD,ESP,LKA,VCT,SDN,SUR,SWE,CHE,SYR,TWN,TJK,TZA,THA,TLS,TGO,TON,TTO,TUN,TUR,TKM,TUV,UGA,UKR,ARE,GBR,USA,URY,UZB,VUT,VAT,VEN,VNM,YEM,ZMB,ZWE
ALB,visa required,-1,visa required,90,visa required,90,90,90,90,90,90,90,360,visa required,90,90,90,visa required,visa required,visa required,visa required,90,visa required,90,90,90,visa required,visa required,visa required,visa required,90,visa required,visa required,visa required,90,90,90,visa required,visa required,visa required,90,visa required,90,visa required,90,90,90,visa required,visa required,visa required,visa required,visa required,90,visa required,visa required,90,visa required,visa required,visa required,90,90,visa required,visa required,90,90,visa required,90,visa required,90,visa required,visa required,visa required,visa required,90,90,90,90,visa required,visa required,visa required,visa required,90,90,90,visa required,90,visa required,90,visa required,visa required,90,90,visa required,visa required,90,visa required,visa required,visa required,visa required,90,90,90,90,visa required,visa required,90,visa required,visa required,90,visa required,visa required,90,90,visa required,90,90,visa required,90,visa required,visa required,visa required,visa required,visa required,visa required,90,90,90,visa required,visa required,visa required,90,90,90,visa required,visa required,visa required,90,visa required,90,90,visa required,90,90,90,90,90,visa required,90,visa required,visa required,90,visa required,90,visa required,90,90,visa required,90,90,90,visa required,visa required,visa required,90,visa required,90,visa required,visa required,visa required,visa required,90,90,visa required,90,visa required,visa required,90,visa required,visa required,visa required,90,visa required,visa free,visa required,visa required,visa required,90,90,90,90,90,visa required,visa required,90,90,visa required,visa required,visa required,visa required
DZA,visa required,visa required,-1,visa required,visa required,visa required,visa required,visa required,visa required,visa required,visa required,visa required,visa required,visa required,visa required,visa required,visa required,visa required,visa required,visa required,visa required,visa required,visa required,visa required,visa required,visa required,visa required,visa required,visa required,visa required,visa required,visa required,visa required,visa required,visa required,visa required,visa required,visa required,visa required,visa required,visa required,visa required,visa required,visa required,visa required,visa required,visa required,visa required,visa required,visa required,visa required,visa required,visa required,visa required,visa required,visa required,visa required,visa required,visa required,visa required,visa required,visa required,visa required,visa required,visa required,visa required,visa required,visa required,visa required,visa required,visa required,visa required,visa required,visa required,visa required,visa required,visa required,visa required,visa required,visa required,visa required,visa required,visa required,visa required,visa required,visa required,visa required,visa required,visa required,visa required,visa required,visa required,visa required,visa required,visa required,visa required,visa required,visa required,90,visa required,visa required,visa required,visa required,visa required,visa required,90,visa required,90,visa required,visa required,90,visa required,visa required,visa required,visa required,visa required,visa required,visa required,90,visa required,visa required,visa required,visa required,visa required,visa required,visa required,visa required,visa required,visa required,visa required,visa required,visa required,visa required,visa required,visa required,visa required,visa required,visa required,visa required,visa required,visa required,visa required,visa required,visa required,visa required,visa required,visa required,visa required,visa required,visa required,visa required,visa required,visa required,visa required,visa required,90,visa required,visa required,visa required,visa required,visa required,visa required,visa required,visa required,visa required,visa required,visa required,visa required,visa required,visa required,visa required,visa required,visa required,visa required,visa required,visa required,visa required,visa required,visa required,visa required,visa required,90,visa required,visa required,visa required,visa required,visa required,visa required,visa required,visa required,visa required,visa required,visa required,visa required,visa required,visa required,visa required,visa required,visa required
AND,covid ban,covid ban,covid ban,-1,covid ban,covid ban,covid ban,covid ban,90,visa free,covid ban,covid ban,covid ban,covid ban,covid ban,covid ban,visa free,covid ban,covid ban,covid ban,covid ban,covid ban,covid ban,covid ban,covid ban,visa free,covid ban,covid ban,covid ban,covid ban,covid ban,covid ban,covid ban,covid ban,covid ban,covid ban,covid ban,covid ban,covid ban,covid ban,covid ban,covid ban,visa free,covid ban,visa free,visa free,visa free,covid ban,covid ban,covid ban,covid ban,covid ban,covid ban,covid ban,covid ban,visa free,covid ban,covid ban,covid ban,visa free,visa free,covid ban,covid ban,90,visa free,covid ban,visa free,covid ban,covid ban,covid ban,covid ban,covid ban,covid ban,covid ban,covid ban,visa free,visa free,covid ban,covid ban,covid ban,covid ban,visa free,covid ban,visa free,covid ban,90,covid ban,covid ban,covid ban,covid ban,covid ban,covid ban,covid ban,covid ban,visa free,covid ban,covid ban,covid ban,covid ban,visa free,visa free,visa free,covid ban,covid ban,covid ban,covid ban,covid ban,covid ban,visa free,covid ban,covid ban,covid ban,covid ban,covid ban,covid ban,visa free,covid ban,covid ban,covid ban,covid ban,covid ban,covid ban,covid ban,covid ban,visa free,90,covid ban,covid ban,covid ban,covid ban,covid ban,visa free,covid ban,covid ban,covid ban,covid ban,covid ban,covid ban,covid ban,covid ban,covid ban,visa free,visa free,covid ban,visa free,covid ban,covid ban,covid ban,covid ban,covid ban,90,covid ban,covid ban,covid ban,covid ban,covid ban,covid ban,90,visa free,visa free,covid ban,covid ban,covid ban,90,covid ban,visa free,covid ban,covid ban,covid ban,covid ban,visa free,visa free,covid ban,covid ban,covid ban,covid ban,covid ban,covid ban,covid ban,covid ban,covid ban,covid ban,covid ban,covid ban,covid ban,covid ban,covid ban,covid ban,visa free,covid ban,covid ban,covid ban,covid ban,90,covid ban,covid ban,covid ban,covid ban,covid ban
AGO,visa on arrival,visa on arrival,visa on arrival,visa on arrival,-1,visa on arrival,visa on arrival,visa on arrival,visa on arrival,visa on arrival,visa on arrival,visa on arrival,visa on arrival,visa on arrival,visa on arrival,visa on arrival,visa on arrival,visa on arrival,visa on arrival,visa on arrival,visa on arrival,visa on arrival,30,visa on arrival,visa on arrival,visa on arrival,visa on arrival,visa on arrival,visa on arrival,visa on arrival,visa on arrival,visa free,visa on arrival,visa on arrival,visa on arrival,visa on arrival,visa on arrival,visa on arrival,visa on arrival,visa on arrival,visa on arrival,visa on arrival,visa on arrival,visa on arrival,visa on arrival,visa on arrival,visa on arrival,visa on arrival,visa on arrival,visa on arrival,visa on arrival,visa on arrival,visa on arrival,visa on arrival,visa on arrival,visa on arrival,visa on arrival,visa on arrival,visa on arrival,visa on arrival,visa on arrival,visa on arrival,visa on arrival,visa on arrival,visa on arrival,visa on arrival,visa on arrival,visa on arrival,visa on arrival,visa on arrival,visa on arrival,visa on arrival,visa on arrival,visa on arrival,visa on arrival,visa on arrival,visa on arrival,visa on arrival,visa on arrival,visa on arrival,visa on arrival,visa on arrival,visa on arrival,visa on arrival,visa on arrival,visa on arrival,visa on arrival,visa on arrival,visa on arrival,visa on arrival,visa on arrival,visa on arrival,visa on arrival,visa on arrival,visa on arrival,visa on arrival,visa on arrival,visa on arrival,visa on arrival,visa on arrival,visa on arrival,visa on arrival,visa on arrival,visa on arrival,visa on arrival,visa on arrival,visa on arrival,visa on arrival,visa on arrival,visa on arrival,visa on arrival,30,visa on arrival,visa on arrival,visa on arrival,visa on arrival,visa on arrival,visa on arrival,visa on arrival,30,visa on arrival,visa free,visa on arrival,visa on arrival,visa on arrival,visa on arrival,visa on arrival,visa on arrival,visa on arrival,visa on arrival,visa on arrival,visa on arrival,visa on arrival,visa on arrival,visa on arrival,visa on arrival,visa on arrival,visa on arrival,visa on arrival,visa on arrival,visa on arrival,visa on arrival,visa on arrival,visa on arrival,visa on arrival,visa on arrival,30,visa on arrival,visa on arrival,visa on arrival,visa on arrival,visa on arrival,visa on arrival,visa on arrival,visa on arrival,30,visa on arrival,30,visa on arrival,visa on arrival,visa on arrival,visa on arrival,30,visa on arrival,visa on arrival,visa on arrival,visa on arrival,visa on arrival,visa on arrival,visa on arrival,visa on arrival,visa on arrival,visa on arrival,visa on arrival,visa on arrival,visa on arrival,visa on arrival,visa on arrival,visa on arrival,visa on arrival,visa on arrival,visa on arrival,visa on arrival,visa on arrival,visa on arrival,visa on arrival,visa on arrival,visa on arrival,visa on arrival,visa on arrival,visa on arrival,visa on arrival,visa on arrival,visa on arrival,visa on arrival,visa on arrival,visa on arrival,30,30
ATG,e-visa,180,e-visa,180,e-visa,-1,180,180,180,180,180,180,e-visa,e-visa,180,180,180,180,e-visa,e-visa,90,e-visa,180,180,180,180,e-visa,e-visa,e-visa,e-visa,180,e-visa,e-visa,e-visa,180,30,visa free,e-visa,e-visa,e-visa,e-visa,e-visa,180,30,180,180,180,e-visa,180,e-visa,90,e-visa,e-visa,e-visa,e-visa,180,180,e-visa,180,180,180,e-visa,e-visa,180,180,e-visa,180,180,e-visa,e-visa,e-visa,180,e-visa,e-visa,30,180,180,e-visa,e-visa,e-visa,e-visa,180,e-visa,180,180,180,e-visa,180,180,180,90,e-visa,180,e-visa,180,e-visa,180,e-visa,e-visa,180,180,180,30,visa free,180,180,180,e-visa,180,180,e-visa,180,180,e-visa,180,180,e-visa,e-visa,e-visa,e-visa,e-visa,180,180,e-visa,180,180,e-visa,e-visa,e-visa,e-visa,180,180,e-visa,e-visa,e-visa,e-visa,180,180,e-visa,180,e-visa,180,180,e-visa,180,90,e-visa,180,180,180,180,e-visa,e-visa,e-visa,e-visa,180,e-visa,180,180,180,180,e-visa,180,180,e-visa,180,e-visa,180,e-visa,180,180,180,e-visa,30,180,180,e-visa,e-visa,e-visa,e-visa,180,e-visa,180,180,180,180,180,90,180,180,e-visa,180,180,180,180,e-visa,e-visa,180,e-visa
ARG,covid ban,covid ban,covid ban,covid ban,covid ban,covid ban,-1,covid ban,covid ban,covid ban,covid ban,covid ban,covid ban,covid ban,covid ban,covid ban,covid ban,covid ban,covid ban,covid ban,covid ban,covid ban,covid ban,covid ban,covid ban,covid ban,covid ban,covid ban,covid ban,covid ban,covid ban,covid ban,covid ban,covid ban,covid ban,covid ban,covid ban,covid ban,covid ban,covid ban,visa free,covid ban,covid ban,covid ban,covid ban,covid ban,covid ban,covid ban,covid ban,covid ban,covid ban,covid ban,covid ban,covid ban,covid ban,covid ban,covid ban,covid ban,covid ban,covid ban,covid ban,covid ban,covid ban,covid ban,covid ban,covid ban,covid ban,covid ban,covid ban,covid ban,covid ban,covid ban,covid ban,covid ban,covid ban,covid ban,covid ban,covid ban,covid ban,covid ban,covid ban,covid ban,covid ban,covid ban,covid ban,covid ban,covid ban,covid ban,covid ban,covid ban,covid ban,covid ban,covid ban,covid ban,covid ban,covid ban,covid ban,covid ban,covid ban,covid ban,covid ban,covid ban,covid ban,covid ban,covid ban,covid ban,covid ban,covid ban,covid ban,covid ban,covid ban,covid ban,covid ban,covid ban,covid ban,covid ban,covid ban,covid ban,covid ban,covid ban,covid ban,covid ban,covid ban,covid ban,covid ban,covid ban,covid ban,covid ban,covid ban,covid ban,covid ban,covid ban,covid ban,covid ban,covid ban,covid ban,covid ban,covid ban,covid ban,covid ban,covid ban,covid ban,covid ban,covid ban,covid ban,covid ban,covid ban,covid ban,covid ban,covid ban,covid ban,covid ban,covid ban,covid ban,covid ban,covid ban,covid ban,covid ban,covid ban,covid ban,covid ban,covid ban,covid ban,covid ban,covid ban,covid ban,covid ban,covid ban,covid ban,covid ban,covid ban,covid ban,covid ban,covid ban,covid ban,covid ban,covid ban,covid ban,covid ban,covid ban,covid ban,covid ban,covid ban,covid ban,covid ban,covid ban,covid ban,covid ban,covid ban,covid ban,covid ban,covid ban,covid ban,covid ban,covid ban,covid ban,covid ban,covid ban,covid ban
ARM,visa required,180,visa required,180,visa required,e-visa,visa free,-1,180,180,no admission,e-visa,e-visa,visa required,e-visa,visa free,180,e-visa,visa required,e-visa,e-visa,e-visa,visa required,180,e-visa,180,visa required,visa required,e-visa,visa required,e-visa,visa required,visa required,visa required,e-visa,e-visa,e-visa,visa required,visa required,visa required,e-visa,visa required,180,e-visa,180,180,180,visa required,e-visa,e-visa,e-visa,visa required,e-visa,visa required,visa required,180,visa required,visa required,e-visa,180,180,visa required,visa required,visa free,180,visa required,180,e-visa,e-visa,visa required,visa required,e-visa,e-visa,e-visa,180,180,180,e-visa,e-visa,90,visa required,180,e-visa,180,e-visa,180,e-visa,180,visa required,e-visa,no admission,e-visa,180,e-visa,180,e-visa,visa required,visa required,visa required,180,180,180,90,visa required,visa required,e-visa,e-visa,visa required,180,e-visa,visa required,visa required,e-visa,visa required,visa free,180,e-visa,180,visa required,visa required,e-visa,visa required,e-visa,visa required,180,180,e-visa,visa required,visa required,e-visa,e-visa,180,e-visa,visa required,e-visa,visa required,e-visa,e-visa,e-visa,e-visa,e-visa,180,180,180,180,visa free,visa required,e-visa,e-visa,e-visa,180,visa required,visa required,visa required,180,visa required,visa required,180,180,180,e-visa,visa required,e-visa,180,visa required,180,visa required,e-visa,visa required,e-visa,180,180,visa required,e-visa,180,visa required,e-visa,e-visa,visa required,e-visa,e-visa,visa required,e-visa,e-visa,e-visa,visa required,visa free,180,180,180,180,180,e-visa,180,e-visa,visa required,visa required,visa required,visa required
AUS,e-visa,e-visa,e-visa,covid ban,e-visa,e-visa,e-visa,e-visa,-1,e-visa,e-visa,e-visa,e-visa,e-visa,e-visa,e-visa,e-visa,e-visa,e-visa,e-visa,e-visa,e-visa,e-visa,e-visa,covid ban,e-visa,e-visa,e-visa,e-visa,e-visa,covid ban,e-visa,e-visa,e-visa,e-visa,e-visa,e-visa,e-visa,e-visa,e-visa,e-visa,e-visa,e-visa,e-visa,e-visa,e-visa,e-visa,e-visa,e-visa,e-visa,e-visa,e-visa,e-visa,e-visa,e-visa,e-visa,e-visa,e-visa,e-visa,e-visa,e-visa,e-visa,e-visa,e-visa,e-visa,e-visa,e-visa,e-visa,e-visa,e-visa,e-visa,e-visa,e-visa,e-visa,covid ban,e-visa,e-visa,e-visa,e-visa,e-visa,e-visa,e-visa,e-visa,e-visa,e-visa,covid ban,e-visa,e-visa,e-visa,e-visa,e-visa,e-visa,e-visa,e-visa,e-visa,e-visa,e-visa,e-visa,e-visa,e-visa,e-visa,e-visa,e-visa,e-visa,e-visa,covid ban,e-visa,e-visa,e-visa,e-visa,e-visa,e-visa,e-visa,e-visa,e-visa,e-visa,e-visa,e-visa,e-visa,e-visa,e-visa,e-visa,e-visa,e-visa,e-visa,covid ban,e-visa,e-visa,e-visa,e-visa,e-visa,e-visa,e-visa,e-visa,e-visa,e-visa,e-visa,e-visa,e-visa,e-visa,e-visa,e-visa,e-visa,e-visa,e-visa,e-visa,e-visa,e-visa,e-visa,e-visa,e-visa,e-visa,e-visa,e-visa,e-visa,e-visa,e-visa,covid ban,e-visa,e-visa,e-visa,e-visa,e-visa,covid ban,e-visa,e-visa,e-visa,e-visa,e-visa,e-visa,e-visa,e-visa,e-visa,covid ban,e-visa,e-visa,e-visa,e-visa,e-visa,e-visa,e-visa,e-visa,e-visa,e-visa,e-visa,e-visa,e-visa,e-visa,e-visa,covid ban,e-visa,e-visa,e-visa,e-visa,e-visa,e-visa,e-visa,e-visa,e-visa
AUT,covid ban,covid ban,covid ban,90,covid ban,covid ban,covid ban,covid ban,90,-1,covid ban,covid ban,covid ban,covid ban,covid ban,covid ban,visa free,covid ban,covid ban,covid ban,covid ban,90,covid ban,covid ban,covid ban,visa free,covid ban,covid ban,covid ban,covid ban,90,covid ban,covid ban,covid ban,covid ban,covid ban,covid ban,covid ban,covid ban,covid ban,covid ban,covid ban,visa free,covid ban,visa free,visa free,visa free,covid ban,covid ban,covid ban,covid ban,covid ban,covid ban,covid ban,covid ban,visa free,covid ban,covid ban,covid ban,visa free,visa free,covid ban,covid ban,90,visa free,covid ban,visa free,covid ban,covid ban,covid ban,covid ban,covid ban,covid ban,covid ban,covid ban,visa free,visa free,covid ban,covid ban,covid ban,covid ban,visa free,covid ban,visa free,covid ban,90,covid ban,covid ban,covid ban,covid ban,covid ban,covid ban,covid ban,covid ban,visa free,covid ban,covid ban,covid ban,covid ban,visa free,visa free,visa free,covid ban,covid ban,covid ban,covid ban,covid ban,covid ban,visa free,covid ban,covid ban,covid ban,covid ban,covid ban,covid ban,visa free,covid ban,covid ban,covid ban,covid ban,covid ban,covid ban,covid ban,covid ban,visa free,90,covid ban,covid ban,covid ban,covid ban,covid ban,visa free,covid ban,covid ban,covid ban,covid ban,covid ban,covid ban,covid ban,covid ban,covid ban,visa free,visa free,covid ban,visa free,covid ban,covid ban,covid ban,covid ban,covid ban,90,covid ban,covid ban,covid ban,covid ban,covid ban,covid ban,covid ban,visa free,visa free,covid ban,covid ban,covid ban,covid ban,covid ban,visa free,covid ban,covid ban,covid ban,covid ban,visa free,visa free,covid ban,covid ban,covid ban,covid ban,covid ban,covid ban,covid ban,covid ban,covid ban,covid ban,covid ban,covid ban,covid ban,covid ban,covid ban,covid ban,visa free,covid ban,covid ban,covid ban,covid ban,90,covid ban,covid ban,covid ban,covid ban,covid ban
AZE,covid ban,covid ban,covid ban,covid ban,covid ban,covid ban,covid ban,no admission,covid ban,covid ban,-1,covid ban,covid ban,covid ban,covid ban,covid ban,covid ban,covid ban,covid ban,covid ban,covid ban,covid ban,covid ban,covid ban,covid ban,covid ban,covid ban,covid ban,covid ban,covid ban,covid ban,covid ban,covid ban,covid ban,covid ban,covid ban,covid ban,covid ban,covid ban,covid ban,covid ban,covid ban,covid ban,covid ban,covid ban,covid ban,covid ban,covid ban,e-visa,covid ban,covid ban,covid ban,covid ban,covid ban,covid ban,covid ban,covid ban,covid ban,covid ban,covid ban,covid ban,covid ban,covid ban,covid ban,covid ban,covid ban,covid ban,covid ban,covid ban,covid ban,covid ban,covid ban,covid ban,covid ban,covid ban,covid ban,covid ban,covid ban,covid ban,covid ban,covid ban,covid ban,covid ban,covid ban,covid ban,covid ban,covid ban,covid ban,covid ban,covid ban,covid ban,covid ban,covid ban,covid ban,covid ban,covid ban,covid ban,covid ban,covid ban,covid ban,covid ban,covid ban,covid ban,covid ban,covid ban,covid ban,covid ban,covid ban,covid ban,covid ban,covid ban,covid ban,covid ban,covid ban,covid ban,covid ban,covid ban,covid ban,covid ban,covid ban,covid ban,covid ban,covid ban,covid ban,covid ban,covid ban,covid ban,covid ban,covid ban,covid ban,covid ban,covid ban,covid ban,covid ban,covid ban,covid ban,covid ban,covid ban,covid ban,covid ban,covid ban,covid ban,covid ban,covid ban,covid ban,covid ban,covid ban,covid ban,covid ban,covid ban,covid ban,covid ban,covid ban,covid ban,covid ban,covid ban,covid ban,covid ban,covid ban,covid ban,covid ban,covid ban,covid ban,covid ban,covid ban,covid ban,covid ban,covid ban,covid ban,covid ban,covid ban,covid ban,covid ban,covid ban,covid ban,covid ban,covid ban,covid ban,covid ban,covid ban,covid ban,covid ban,covid ban,covid ban,covid ban,covid ban,covid ban,covid ban,covid ban,covid ban,covid ban,covid ban,covid ban,covid ban,covid ban,covid ban,covid ban,covid ban,covid ban
